,epoch,val_loss,loss
0,1,51.319053781972194,73.17779924297132
1,2,47.21539069279859,59.95402882086666
2,3,44.43412417758961,56.11502634589775
3,4,43.16674942090324,54.154112203050666
4,5,47.16705481785016,52.73813133151603
5,6,41.81273412713021,51.9526373972333
6,7,40.852311733841965,50.95525119360774
7,8,40.46690845495205,50.234963840131286
8,9,39.52541759060634,49.8432158796015
9,10,39.875874841254145,49.19579245998436
10,11,38.80229792612416,48.63270108821803
11,12,37.84451341919286,48.104391358788696
12,13,37.83889262260156,47.318053625930226
13,14,36.441892498423606,46.807356956002415
14,15,36.17048531631066,46.305661498899546
15,16,35.88606272571891,45.91856226743939
16,17,35.62229875369253,45.7343583026164
17,18,35.53860558568095,45.50027972635976
18,19,35.216164788116465,45.2015427643315
19,20,35.10854622607729,45.10538209657061
