,epoch,time,train_loss,validation_loss
0,0,1650271267.1436284,,
1,1,1650272750.466435,71.8158601411286,48.95632453319772
2,2,1650274044.613058,51.27553244342375,44.12680032795344
3,3,1650275225.7470884,46.767869595673815,43.85207286351164
4,4,1650276348.829755,45.49765798848797,42.21218093779965
5,5,1650277469.668662,43.99309325754834,40.8840277170991
6,6,1650278586.5138278,42.84113394562454,40.10343315999513
7,7,1650279688.257794,41.86737943692223,39.75726233161911
8,8,1650280779.566238,40.66680134224355,39.08294586012781
9,9,1650281865.9386563,39.971587993707686,38.29254399650773
10,10,1650282929.2583864,39.47753392717335,37.68920033030827
11,11,1650283995.1469188,38.92154917251898,37.490993793341715
12,12,1650285049.2236967,38.8882161147597,37.87053682338784
13,13,1650286086.71112,37.81247450531104,36.496927766013194
14,14,1650287133.2361524,38.220139334822775,36.87374431986204
15,15,1650288175.5494244,38.01757081451907,36.471560805376384
16,16,1650289279.464195,37.27003577540031,36.06856498679885
17,17,1650290361.6252267,36.578996329190005,35.919243305022086
18,18,1650291373.5570672,36.475097020467125,35.3205483137242
19,19,1650292409.632305,36.054637802631014,35.32075784287942
20,20,1650293488.0876095,37.19203851256212,35.788235856253856
